,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
A,,VSS,DN1,DP1,GPIO33,GPIO17,GPIO18,GPIO20,GPIO27,GPIO1,GPIO7,GPIO14,GPIO4,GPIO2,ATSTG,ATSTC,ATSTO,ATSTK,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VDDC,VSS,VSS
B,VSS,VSS,GPIO26,GPIO30,VSS,GPIO32,VSS,GPIO19,VSS,GPIO10,GPIO12,VSS,VSS,VSS,VSS,VSS,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VDDC,VSS
C,GPIO23,VDD_GPIO,GPIO28,VSS,VDDQL_OPHY,GPIO31,GPIO29,GPIO16,GPIO15,GPIO9,GPIO11,VDDQL_OPHY,GPIO13,GPIO0,VDDQL,GPIO3,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,DA1,DA0
D,GPIO22,VDD_GPIO,GPIO25,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VSS,DA5
E,GPIO8,GPIO5,GPIO24,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VSS,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VSS,DA4,DA3
F,GPIO21,VSS,GPIO6,VSS,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL_OPHY,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDQL,VDDC,VDDC,VDDC,VDDC,VDDC,VSS,DA2
G,STRPPLLPD,STRPPLLCLK,STRP1E0TC,VDDIO_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VSS,TST_VDDQL_OPHY,TST_VSS1,TST_VDDIO_OPHY,TST_VSS2,VSS,VDDQL,VSS,VDDQL,VDDQL,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VSS,DA9,DA8
H,PARPRD,SHFTDREXT,UPDDREXT,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL_OPHY,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VDDC,VDDC,VSS,VDDC,VSS,DA7
J,CPTDREXT,VSS,PARTDR,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQL_OPHY,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA6,DA13
K,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDQL,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA12
L,TCK,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA11,DA10
M,CHIP_RESETN,VSS,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA17
N,TDI,VDDIO_OPHY,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA16,DA15
P,TDO,VSS,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA14
R,TMS,VDD18,VDD18,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA21,DA20
T,VSS,VDD18,VDD18,VSS,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA19
U,REFCLK1,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,DA22,DA18
V,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,DA24,DA23
W,REFCLK2,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VSS,DA25
Y,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,DA28,DA29
AA,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQ_OPHY,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VSS,DA27
AB,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQ_OPHY,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VDDC,DA30,DA26
AC,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDQ_OPHY,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDC,VSS,VDDC,VSS,VDDC,VSS,VSS,DA31
AD,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,VDDIO_OPHY,VSS,TST_VSS3,TST_VDDQ_OPHY,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDC,VSS,VDDC,VSS,VDDC,DA33,DA32
AE,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDQ_OPHY,VDDQ_OPHY,VSS,VDDQ,VDDQ,VDDQ,VDDQ,VDDQ,VDDQ,VDDQ,VDDQ,VDDQ,VSS,VDDC,VDDC,VDDC,VDDC,VSS,DA34
AF,VSS,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VDDIO_OPHY,VSS,VDDQ_OPHY,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDC,DA37,DA35
AG,VSS,VSS,VSS,VSS,VDDIO_OPHY,VSS,VSS,VSS,VDDIO_OPHY,VSS,VSS,VSS,VDDQ_OPHY,VDDQ,VSS,VDDQ,VDDQ,VDDQ,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VPP,VSS,VSS,DA36
AH,VSS,VDDIO_TST,VDDIO_TST,VDDIO_OPHY,VSS,VDDQL_TST,VDDQL_TST,VDDQL_TST,VSS,VDDQ_TST,VDDQ_TST,VSS,VSS,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VDDQ,VSS,VPP,DA39,DA38
AJ,VSS,VDDIO_TST,VDDIO_TST,VSS,TST2_DQ0,TST2_DQ3,VSS,TST2_DQ6,TST2_DQ7,TST2_DQ5,TST3_GEN_IO_0,TST3_GEN_IO_1,TST3_CK_T,TST3_CK_C,TST3_PMB1,VSS,VSS,VSS,VSS,VSS,VSS,VSS,VDDQ,VSS,VDDQ,VSS,VPP,VSS,VPP,VSS
AK,VSS,VSS,TST2_DQ2,TST2_DQ4,VSS,VSS,TST2_WDQS_T,TST2_WDQS_C,VSS,TST2_DQ1,TST3_GEN_IO_2,TST3_GEN_IO_3,TST3_GEN_IO_4,VSS,TST3_GEN_IO_5,TST3_PMB0,VSS,DP0,DN0,ATSTH,ATSTD,ATSTP,ATSTL,VDDQ,VSS,VDDQ,VSS,VPP,VSS,VSS
