temp_pin: AERRc          temp: AERRc
temp_pin: AERRd          temp: AERRh
temp_pin: AERRg          temp: AERRg
temp_pin: AERRh          temp: AERRd
temp_pin: AERRk          temp: AERRk
temp_pin: AERRl          temp: AERRp
temp_pin: AERRo          temp: AERRo
temp_pin: AERRp          temp: AERRl
temp_pin: APARc          temp: APARc
temp_pin: APARd          temp: APARh
temp_pin: APARg          temp: APARg
temp_pin: APARh          temp: APARd
temp_pin: APARk          temp: APARk
temp_pin: APARl          temp: APARp
temp_pin: APARo          temp: APARo
temp_pin: APARp          temp: APARl
temp_pin: ARFUc          temp: ARFUc
temp_pin: ARFUd          temp: ARFUh
temp_pin: ARFUg          temp: ARFUg
temp_pin: ARFUh          temp: ARFUd
temp_pin: ARFUk          temp: ARFUk
temp_pin: ARFUl          temp: ARFUp
temp_pin: ARFUo          temp: ARFUo
temp_pin: ARFUp          temp: ARFUl
temp_pin: ATSTc          temp: ATSTc
temp_pin: ATSTc          temp: ATSTc
temp_pin: ATSTd          temp: ATSTh
temp_pin: ATSTd          temp: ATSTh
temp_pin: ATSTg          temp: ATSTg
temp_pin: ATSTg          temp: ATSTg
temp_pin: ATSTh          temp: ATSTd
temp_pin: ATSTh          temp: ATSTd
temp_pin: ATSTk          temp: ATSTk
temp_pin: ATSTk          temp: ATSTk
temp_pin: ATSTl          temp: ATSTp
temp_pin: ATSTl          temp: ATSTp
temp_pin: ATSTo          temp: ATSTo
temp_pin: ATSTo          temp: ATSTo
temp_pin: ATSTp          temp: ATSTl
temp_pin: ATSTp          temp: ATSTl
temp_pin: Cc0          temp: Cc0
temp_pin: Cc1          temp: Cc1
temp_pin: Cc2          temp: Cc2
temp_pin: Cc3          temp: Cc3
temp_pin: Cc4          temp: Cc4
temp_pin: Cc5          temp: Cc5
temp_pin: Cc6          temp: Cc6
temp_pin: Cc7          temp: Cc7
temp_pin: Cd0          temp: Ch0
temp_pin: Cd1          temp: Ch1
temp_pin: Cd2          temp: Ch2
temp_pin: Cd3          temp: Ch3
temp_pin: Cd4          temp: Ch4
temp_pin: Cd5          temp: Ch5
temp_pin: Cd6          temp: Ch6
temp_pin: Cd7          temp: Ch7
temp_pin: Cg0          temp: Cg0
temp_pin: Cg1          temp: Cg1
temp_pin: Cg2          temp: Cg2
temp_pin: Cg3          temp: Cg3
temp_pin: Cg4          temp: Cg4
temp_pin: Cg5          temp: Cg5
temp_pin: Cg6          temp: Cg6
temp_pin: Cg7          temp: Cg7
temp_pin: Ch0          temp: Cd0
temp_pin: Ch1          temp: Cd1
temp_pin: Ch2          temp: Cd2
temp_pin: Ch3          temp: Cd3
temp_pin: Ch4          temp: Cd4
temp_pin: Ch5          temp: Cd5
temp_pin: Ch6          temp: Cd6
temp_pin: Ch7          temp: Cd7
temp_pin: Ck0          temp: Ck0
temp_pin: Ck1          temp: Ck1
temp_pin: Ck2          temp: Ck2
temp_pin: Ck3          temp: Ck3
temp_pin: Ck4          temp: Ck4
temp_pin: Ck5          temp: Ck5
temp_pin: Ck6          temp: Ck6
temp_pin: Ck7          temp: Ck7
temp_pin: CKc_c          temp: CKc_c
temp_pin: CKc_t          temp: CKc_t
temp_pin: CKd_c          temp: CKh_c
temp_pin: CKd_t          temp: CKh_t
temp_pin: CKg_c          temp: CKg_c
temp_pin: CKg_t          temp: CKg_t
temp_pin: CKh_c          temp: CKd_c
temp_pin: CKh_t          temp: CKd_t
temp_pin: CKk_c          temp: CKk_c
temp_pin: CKk_t          temp: CKk_t
